table_name	seed_inserts
AI_ENTITY_FIELD	0
AI_IR_EVENTS	0
AI_IR_FRAGMENT_SNAPSHOTS	0
AI_PROJECTS	0
AI_ROUTE_TABLE	0
AI_SEED_TEMPLATES	0
AI_SKILL_LLM_POLICY	0
AI_SKILL_RUNS	0
BASE_ADVANCED_QUERY_SCHEME	2
BASE_AI_AGENT_CONFIG	5
BASE_AI_AGENT_SKILL	0
BASE_AI_CALL_LOG	96
BASE_AI_EVAL_CASE	0
BASE_AI_EVAL_GOLDEN_SET	0
BASE_AI_EVAL_RUN	0
BASE_AI_GENERATED_PROJECT	0
BASE_AI_MCP_CONFIG	0
BASE_AI_MODEL_PROVIDER	5
BASE_AI_MODEL_ROUTING	5
BASE_AI_PIPELINE	54
BASE_AI_PIPELINE_MESSAGE	126
BASE_AI_PIPELINE_S2_PROGRESS	0
BASE_AI_PIPELINE_STAGE_CONFIG	5
BASE_AI_PROMPT_TEMPLATE	0
BASE_AI_SKILL_REVIEW	0
BASE_AI_UI_TEMPLATE	0
BASE_API_LOG	39
BASE_APP_DATA	0
BASE_AUTHORIZE	2553
BASE_BILL_RULE	61
BASE_COLUMNS_PURVIEW	1
BASE_COMMON_FIELDS	10
BASE_COMMON_WORDS	0
BASE_DATA_INTERFACE	146
BASE_DATA_INTERFACE_LOG	0
BASE_DATA_INTERFACE_OAUTH	1
BASE_DATA_INTERFACE_USER	1
BASE_DATA_INTERFACE_VARIATE	1
BASE_DB_LINK	1
BASE_DICTIONARY_DATA	897
BASE_DICTIONARY_TYPE	145
BASE_FILE	0
BASE_FOUNDER_AUTH_LOG	13
BASE_GROUP	1
BASE_IM_CONTENT	2
BASE_IM_REPLY	2
BASE_INTEGRATE	3
BASE_INTEGRATE_NODE	0
BASE_INTEGRATE_QUEUE	0
BASE_INTEGRATE_TASK	0
BASE_IR_EDIT_PATCH	0
BASE_IR_VERSION	0
BASE_KNOWLEDGE_EDGE	0
BASE_KNOWLEDGE_NODE	0
BASE_KNOWLEDGE_RULE	0
BASE_MENU_BADGE	0
BASE_MESSAGE	1229
BASE_MODULE	210
BASE_MODULE_AUTHORIZE	8
BASE_MODULE_BUTTON	34
BASE_MODULE_COLUMN	6
BASE_MODULE_FORM	6
BASE_MODULE_LINK	2
BASE_MODULE_SCHEME	8
BASE_MSG_ACCOUNT	4
BASE_MSG_MONITOR	147
BASE_MSG_SEND	24
BASE_MSG_SEND_TEMPLATE	23
BASE_MSG_SHORT_LINK	0
BASE_MSG_SMS_FIELD	0
BASE_MSG_TEMPLATE	26
BASE_MSG_TEMPLATE_PARAM	78
BASE_MSG_WECHAT_USER	0
BASE_NOTICE	3
BASE_ORGANIZE	6
BASE_ORGANIZE_ADMINISTRATOR	5
BASE_ORGANIZE_RELATION	0
BASE_PERMISSION_GROUP	5
BASE_PORTAL	2
BASE_PORTAL_DATA	9
BASE_PORTAL_MANAGE	2
BASE_POSITION	2
BASE_PRINT_LOG	21
BASE_PRINT_TEMPLATE	5
BASE_PROVINCE	47518
BASE_PROVINCE_ATLAS	3210
BASE_REPORT	0
BASE_ROLE	9
BASE_SANDBOX	0
BASE_SCHEDULE	0
BASE_SCHEDULE_LOG	0
BASE_SCHEDULE_USER	0
BASE_SIGN_IMG	0
BASE_SIGNATURE	0
BASE_SIGNATURE_USER	0
BASE_SOCIALS_USERS	0
BASE_STUDIO_MENU	54
BASE_STUDIO_MENU_BAK_20260617	54
BASE_SYN_THIRD_INFO	0
BASE_SYS_CONFIG	74
BASE_SYS_LOG	12615
BASE_SYSTEM	7
BASE_TENANT_GLOSSARY	0
BASE_TENANT_INDUSTRY	0
BASE_TIME_TASK	0
BASE_TIME_TASK_LOG	22
BASE_USER	45
BASE_USER_DEVICE	0
BASE_USER_OLD_PASSWORD	0
BASE_USER_RELATION	82
BASE_VISUAL_DEV	48
BASE_VISUAL_FILTER	0
BASE_VISUAL_LINK	0
BASE_VISUAL_RELEASE	25
BLADE_VISUAL	77
BLADE_VISUAL_CATEGORY	2
BLADE_VISUAL_COMPONENT	42
BLADE_VISUAL_CONFIG	77
BLADE_VISUAL_DB	4
BLADE_VISUAL_GLOB	0
BLADE_VISUAL_MAP	3
BLADE_VISUAL_RECORD	3
DATA_REPORT	15
DEMO_EXCELTEST	3
DEMO_ORDER	151
DEMO_ORDERDETAIL	60
DOMAIN_MODEL	0
EVAL_METRIC	0
EXT_BIG_DATA	0
EXT_CUSTOMER	7
EXT_DOCUMENT	4
EXT_DOCUMENT_SHARE	0
EXT_EMAIL_CONFIG	1
EXT_EMAIL_RECEIVE	0
EXT_EMAIL_SEND	0
EXT_EMPLOYEE	0
EXT_ORDER	9
EXT_ORDER_ENTRY	6
EXT_ORDER_RECEIVABLE	1
EXT_PRODUCT	3
EXT_PRODUCT_CLASSIFY	6
EXT_PRODUCT_ENTRY	12
EXT_PRODUCT_GOODS	10
EXT_PROJECT_GANTT	0
EXT_TABLE_EXAMPLE	33
EXT_WORK_LOG	0
EXT_WORK_LOG_SHARE	0
FLOW_CANDIDATES	0
FLOW_COMMENT	0
FLOW_DELEGATE	0
FLOW_EVENT_LOG	24
FLOW_FORM	4
FLOW_FORM_AUTHORIZE	0
FLOW_FORM_RELATION	1
FLOW_LAUNCH_USER	16
FLOW_REJECT_DATA	0
FLOW_TASK	16
FLOW_TASK_CIRCULATE	0
FLOW_TASK_NODE	45
FLOW_TASK_OPERATOR	555
FLOW_TASK_OPERATOR_RECORD	15
FLOW_TASK_OPERATOR_USER	0
FLOW_TEMPLATE	6
FLOW_TEMPLATE_JSON	3
FLOW_VISIBLE	41
INTE_ASSISTANT_ATTACHMENT	0
INTE_ASSISTANT_DELIVERABLE	0
KG_PATTERN	0
KG_PATTERN_USAGE	0
MT543406707183714245	2
MT543408365615710149	64
MT543552698159464389	32
MT543668771097673669	2
MT543971603646513093	0
PROCESSED_EVENT	0
REPORT_CHARTS	21
REPORT_DEPARTMENT	12
REPORT_USER	283
SA_ASSUMPTIONS	0
SA_BUSINESS_PROCESS	0
SA_CONSISTENCY	0
SA_DATA_DICTIONARY	0
SA_DECISION_TABLE	0
SA_DFD	0
SA_ER	0
SA_PSPEC	0
SA_QUALITY_SCORE	0
SA_SCOPE	0
SA_STATE_MACHINE	0
SA_UI	0
SA_VALIDATION_LOG	0
SCHEMAVERSIONS	4
STUDENT	4
SYS_EVENT_OUTBOX_MESSAGE	0
SYS_PROCESSED_EVENT	0
UNDO_LOG	0
WFORM_APPLYBANQUET	1
WFORM_APPLYDELIVERGOODS	0
WFORM_APPLYDELIVERGOODSENTRY	0
WFORM_APPLYMEETING	0
WFORM_ARCHIVALBORROW	2
WFORM_ARTICLESWAREHOUS	0
WFORM_BATCHPACK	0
WFORM_BATCHTABLE	0
WFORM_CONBILLING	0
WFORM_CONTRACTAPPROVAL	0
WFORM_CONTRACTAPPROVALSHEET	0
WFORM_DEBITBILL	0
WFORM_DOCUMENTAPPROVAL	0
WFORM_DOCUMENTSIGNING	0
WFORM_EXPENSEEXPENDITURE	0
WFORM_FINISHEDPRODUCT	0
WFORM_FINISHEDPRODUCTENTRY	0
WFORM_INCOMERECOGNITION	0
WFORM_LEAVEAPPLY	0
WFORM_LETTERSERVICE	0
WFORM_MATERIALREQUISITION	0
WFORM_MATERIALREQUISITIONENTRY	0
WFORM_MONTHLYREPORT	0
WFORM_OFFICESUPPLIES	0
WFORM_OUTBOUNDORDER	0
WFORM_OUTBOUNDORDERENTRY	0
WFORM_OUTGOINGAPPLY	0
WFORM_PAYDISTRIBUTION	0
WFORM_PAYMENTAPPLY	0
WFORM_POSTBATCHTAB	0
WFORM_PROCUREMENTMATERIAL	0
WFORM_PROCUREMENTMATERIALENTRY	0
WFORM_PURCHASELIST	0
WFORM_PURCHASELISTENTRY	0
WFORM_QUOTATIONAPPROVAL	0
WFORM_RECEIPTPROCESSING	0
WFORM_RECEIPTSIGN	0
WFORM_REWARDPUNISHMENT	0
WFORM_SALESORDER	1
WFORM_SALESORDERENTRY	1
WFORM_SALESSUPPORT	0
WFORM_STAFFOVERTIME	0
WFORM_SUPPLEMENTCARD	0
WFORM_TRAVELAPPLY	0
WFORM_TRAVELREIMBURSEMENT	0
WFORM_VEHICLEAPPLY	0
WFORM_VIOLATIONHANDLING	0
WFORM_WAREHOUSERECEIPT	0
WFORM_WAREHOUSERECEIPTENTRY	0
WFORM_WORKCONTACTSHEET	0
WFORM_ZJF_WIKXQI	0
WH_BASICDATA	210
WH_BILL	2
WH_BILLAUTOID	6
WH_BILLDETAIL	6
WH_CHECKBILLDETAIL	21
WH_CUSTOMER	3
WH_CUSTOMERCLASS	4
WH_DEPOT	4
WH_DEPOTMATERIAL	4
WH_DEPT	4
WH_MATERIAL	6
WH_MATERIALCLASS	3
WH_PROJECT	3
WH_REMOVEBILL	8
WH_REMOVEBILLDETAIL	15
WH_STORAGETYPE	6
WH_SUPPLIER	3
WH_SUPPLIERCLASS	5
WM_BASICDATA	31
WM_BILL	151
WM_BILLAUTOID	6
WM_BILLDETAIL	1629
WM_CHECKBILL	1
WM_CHECKBILLDETAIL	1614
WM_CLIENT	1
WM_CLIENTCLASS	0
WM_DEPOT	1
WM_DEPOTMATERIAL	0
WM_DEPT	1
WM_EMPLOYEE	3
WM_MATERIAL	739
WM_PROJECT	0
WM_REMOVEBILL	5
WM_REMOVEBILLDETAIL	7
WM_STORAGECLASS	9
WM_STORAGETYPE	8
WM_SUPPLIER	1
WM_SUPPLIERCLASS	0
WM_TAXRATE	0
ZX_SYS_CONFIG	2
ZX_SYS_DB	5
ZX_SYSTEM_DB	0
