TableName,Module,Classification,RiskLevel,BeforeProblem,Action,IndexChange,SchemaChange,VerificationResult,BusinessValue,Status,Batch
base_organize,system-core-identity,PRODUCT_CORE,R1,组织架构表查询缺少组合索引,REFACTORED,3,No,PASS,优化组织层级查询路径,CLOSED,01
base_role,system-core-identity,PRODUCT_CORE,R2,角色表缺少唯一性索引(Risk Floor触发),REFACTORED,2,No,PASS,加速角色编码查询与类型筛选,CLOSED,01
base_position,system-core-identity,PRODUCT_CORE,R1,岗位表缺少部门关联索引,REFACTORED,2,No,PASS,优化岗位-部门关联查询,CLOSED,01
base_user_relation,system-core-identity,PRODUCT_CORE,R1,用户关系表(多态关联)缺少索引覆盖,REFACTORED,3,No,PASS,优化用户-组织-角色多态关联查询,CLOSED,01
base_authorize,system-core-permission,PRODUCT_CORE,R2,权限表缺少菜单关联索引,REFACTORED,3,No,PASS,加速权限菜单查询,CLOSED,02
base_module,system-core-permission,PRODUCT_CORE,R2,菜单表缺少父级与分类索引,REFACTORED,2,No,PASS,优化菜单树查询,CLOSED,02
base_module_button,system-core-permission,PRODUCT_CORE,R2,菜单按钮表缺少菜单关联索引,REFACTORED,2,No,PASS,加速按钮权限加载,CLOSED,02
base_module_column,system-core-permission,PRODUCT_CORE,R2,菜单列权限表缺少索引,REFACTORED,2,No,PASS,加速列权限加载,CLOSED,02
base_module_form,system-core-permission,PRODUCT_CORE,R2,菜单表单权限表缺少索引,REFACTORED,3,No,PASS,加速表单权限加载,CLOSED,02
base_dictionary_type,system-core-dictionary,PRODUCT_CORE,R2,字典类型表缺少唯一性索引,REFACTORED,2,No,PASS,加速字典类型查询,CLOSED,03
base_dictionary_data,system-core-dictionary,PRODUCT_CORE,R2,字典数据表缺少类型关联索引,REFACTORED,3,No,PASS,加速字典项加载,CLOSED,03
base_bill_rule,system-core-dictionary,PRODUCT_CORE,R2,单据规则表缺少编码索引,REFACTORED,2,No,PASS,加速单据号生成,CLOSED,03
base_common_fields,system-core-dictionary,PRODUCT_CORE,R2,通用字段表缺少索引,REFACTORED,2,No,PASS,加速通用字段加载,CLOSED,03
base_common_words,system-core-dictionary,PRODUCT_CORE,R2,常用词汇表缺少索引,REFACTORED,3,No,PASS,加速常用词联想,CLOSED,03
base_sys_config,system-core-config,PRODUCT_CORE,R2,系统配置表缺少键索引,REFACTORED,2,No,PASS,加速系统配置读取,CLOSED,04
base_sys_log,system-core-config,PRODUCT_CORE,R2,系统日志表缺少时间索引,REFACTORED,2,No,PASS,加速日志查询,CLOSED,04
base_api_log,system-core-config,PRODUCT_CORE,R2,API日志表缺少索引,REFACTORED,3,No,PASS,加速API审计查询,CLOSED,04
base_sign_img,system-core-config,PRODUCT_CORE,R2,签名图片表缺少索引,REFACTORED,2,No,PASS,加速签名加载,CLOSED,04
base_syn_third_info,system-core-config,PRODUCT_CORE,R2,第三方同步表缺少索引,REFACTORED,2,No,PASS,加速第三方数据同步,CLOSED,04
base_province,province-data-interface,PRODUCT_CORE,R2,省份表缺少父级索引,REFACTORED,2,No,PASS,加速省市区层级查询,CLOSED,05
base_province_atlas,province-data-interface,PRODUCT_CORE,R2,省份地图表缺少索引,REFACTORED,2,No,PASS,加速地图加载,CLOSED,05
base_data_interface,province-data-interface,PRODUCT_CORE,R2,数据接口表缺少索引,REFACTORED,2,No,PASS,加速接口列表查询,CLOSED,05
base_data_interface_log,province-data-interface,PRODUCT_CORE,R2,接口日志表缺少索引,REFACTORED,3,No,PASS,加速接口调用日志查询,CLOSED,05
base_data_interface_oauth,province-data-interface,PRODUCT_CORE,R2,接口OAuth表索引受限(nvarchar(MAX)列),REFACTORED,1,No (limited by nvarchar(MAX)),PASS,在列类型限制下优化查询,CLOSED,05
ext_table_example,DEMO_SAMPLE-SVR001,OUT_OF_SCOPE,N/A,示例扩展表(误纳入生产范围),RETAIN-AS-EXCEPTION,3,No,PASS,保留历史修改作为例外(不计入生产收益),CLOSED,06
ext_product,system-extension,ST-PROD,R2,扩展商品表缺少索引,REFACTORED,3,No,PASS,优化商品查询,CLOSED,06
ext_customer,system-extension,ST-PROD,R2,扩展客户表缺少索引,REFACTORED,2,No,PASS,加速客户查询,CLOSED,06
ext_order,system-extension,ST-PROD,R2,扩展订单表缺少索引,REFACTORED,3,No,PASS,加速订单查询,CLOSED,06
ext_order_entry,system-extension,ST-PROD,R2,扩展订单明细表缺少订单索引,REFACTORED,3,No,PASS,加速订单明细查询,CLOSED,06
ext_email_config,system-extension,ST-PROD,R2,邮件配置表缺少索引,REFACTORED,3,No,PASS,加速邮件配置加载,CLOSED,06
flow_task_node,workflow-engine,PRODUCT_CORE,R2,流程任务节点表缺少索引,REFACTORED,3,No,PASS,加速流程节点查询,CLOSED,07
flow_task_operator,workflow-engine,PRODUCT_CORE,R2,流程任务经办人表缺少索引,REFACTORED,4,No,PASS,加速流程审批人查询,CLOSED,07
flow_template,workflow-engine,PRODUCT_CORE,R2,流程模板表缺少编码索引,REFACTORED,2,No,PASS,加速流程模板查询,CLOSED,07
flow_form,workflow-engine,PRODUCT_CORE,R2,流程表单表缺少索引,REFACTORED,3,No,PASS,加速流程表单加载,CLOSED,07
flow_delegate,workflow-engine,PRODUCT_CORE,R2,流程委托表缺少索引,REFACTORED,3,No,PASS,加速委托关系查询,CLOSED,07
flow_candidates,workflow-engine,PRODUCT_CORE,R2,流程候选人表缺少索引,REFACTORED,2,No,PASS,加速候选人查询,CLOSED,07
blade_visual,visualdata,PRODUCT_CORE,R2,可视化设计器表缺少索引,NO-CHANGE,3,No,PASS,确认现有索引覆盖查询需求(避免冗余修改),CLOSED,08
blade_visual_category,visualdata,PRODUCT_CORE,R2,可视化分类表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,08
BASE_REPORT,visualdata,PRODUCT_CORE,R2,报表表缺少编码索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,08
report_charts,visualdata,PRODUCT_CORE,R2,报表图表表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,08
BASE_AI_PIPELINE,inteAssistant-AI,PRODUCT_CORE,R2,AI流水线表缺少项目与状态索引,REFACTORED,2,No,PASS,加速AI流水线查询,CLOSED,09
BASE_AI_AGENT_CONFIG,inteAssistant-AI,PRODUCT_CORE,R2,AI代理配置表缺少类型索引,REFACTORED,3,No,PASS,加速AI代理类型筛选,CLOSED,09+17
ai_ir_events,inteAssistant-AI,PRODUCT_CORE,R3+,事件溯源表缺少三元组索引,REFACTORED,3,No,PASS,加速IR事件查询与回放,CLOSED,09
ai_entity_field,inteAssistant-AI,PRODUCT_CORE,R3+,实体字段投影表缺少索引,REFACTORED,2,No,PASS,加速实体字段查询,CLOSED,09
BASE_AI_SKILL_REVIEW,inteAssistant-AI,PRODUCT_CORE,R2,AI技能审查表缺少项目索引,REFACTORED,1,No,PASS,加速技能审查查询,CLOSED,09
BASE_AI_EVAL_RUN,inteAssistant-AI,PRODUCT_CORE,R2,AI评估运行表缺少索引,REFACTORED,2,Yes (column case F_RunAt fixed),PASS,加速评估运行查询,CLOSED,09
flow_task,workflow-engine,PRODUCT_CORE,R3+,流程任务主表缺少索引,NO-CHANGE,4,No,PASS,确认现有索引覆盖(避免修改核心任务表),CLOSED,10
flow_comment,workflow-engine,PRODUCT_CORE,R2,流程评论表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,10
flow_event_log,workflow-engine,PRODUCT_CORE,R2,流程事件日志表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,10
flow_task_operator_user,workflow-engine,PRODUCT_CORE,R2,流程任务用户表缺少索引,NO-CHANGE,2,No,PASS,确认现有索引覆盖,CLOSED,10
flow_task_circulate,workflow-engine,PRODUCT_CORE,R2,流程传阅表缺少索引,NO-CHANGE,1,No,PASS,确认现有索引覆盖,CLOSED,10
flow_visible,workflow-engine,PRODUCT_CORE,R2,流程可见性表缺少索引,NO-CHANGE,0,No,PASS,确认现有索引覆盖(无需新增),CLOSED,10
