file,last_commit,blob_size,was_size,status
docs/架构迭代/1、系统架构设计说明/001、核心框架系统架构和功能模块深度剖析.md,31c835ef,55335,55335,OK
docs/架构迭代/1、系统架构设计说明/002、数据库设计与数据架构.md,31c835ef,40437,40437,OK
docs/架构迭代/1、系统架构设计说明/003、部署运维与环境配置指南.md,31c835ef,49345,49345,OK
docs/架构迭代/1、系统架构设计说明/004、开发指南与编码规范.md,31c835ef,50257,50257,OK
docs/架构迭代/1、系统架构设计说明/10、向量数据库修订施工包.md,5e79b0b6,22166,22166,OK
docs/架构迭代/1、系统架构设计说明/11、架构深潜切面一之日志系统最后施工包.md,001f4ffb,51881,51881,OK
docs/架构迭代/1、系统架构设计说明/12、架构深潜之龙隐于海.md,b4c32dd1,284959,284959,OK
docs/架构迭代/1、系统架构设计说明/12、架构深潜之龙隐于海.pdf,b4c32dd1,1460982,1460982,OK
docs/架构迭代/1、系统架构设计说明/13、架构深潜切面一的最后审查.md,b4c32dd1,30551,30551,OK
docs/架构迭代/1、系统架构设计说明/1、架构深潜.md,31c835ef,28798,28798,OK
docs/架构迭代/1、系统架构设计说明/2、切面2架构深潜/1、切面二第三阶段审查.md,b4c32dd1,4124,4124,OK
docs/架构迭代/1、系统架构设计说明/2、架构文档编写总纲.md,31c835ef,86270,86270,OK
docs/架构迭代/1、系统架构设计说明/2、架构深潜之二.md,f2ddadb0,18135,18135,OK
docs/架构迭代/1、系统架构设计说明/3、架构深潜第二轮审计opus4.8.md,f2ddadb0,34930,34930,OK
docs/架构迭代/1、系统架构设计说明/3、物联网项目开发能力扩展评估第一版.md,31c835ef,45516,45516,OK
docs/架构迭代/1、系统架构设计说明/3、物联网项目开发能力扩展评估第一版.pdf,31c835ef,650430,650430,OK
docs/架构迭代/1、系统架构设计说明/4、架构深潜前的准备.md,f2ddadb0,21627,21627,OK
docs/架构迭代/1、系统架构设计说明/5、架构深潜之龙隐于渊.md,b747da59,17417,17417,OK
docs/架构迭代/1、系统架构设计说明/6、架构深潜切面一之日志系统.md,b747da59,160512,160512,OK
docs/架构迭代/1、系统架构设计说明/7、架构深潜切面零之SDK其实最重要.md,b747da59,58361,58361,OK
docs/架构迭代/1、系统架构设计说明/8、架构深潜切面零之SDK升级任务修正版.md,b747da59,38941,38941,OK
docs/架构迭代/1、系统架构设计说明/9、私属向量数据库.md,5e79b0b6,12175,12175,OK
docs/架构迭代/1、系统架构设计说明/参考项目（极其重要）.md,31c835ef,6635,6635,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/1、项目规则文档最初版本.md,ea78d445,13999,13999,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/2、修正版.md,ea78d445,23094,23094,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/3、针对加强版.md,ea78d445,18487,18487,OK
docs/架构迭代/2、架构迭代方案设计/1、核心架构二期迭代意见.md,31c835ef,44405,44405,OK
docs/架构迭代/2、架构迭代方案设计/2、应用服务二期迭代意见.md,31c835ef,10623,10623,OK
docs/架构迭代/2、架构迭代方案设计/3、物联网项目开发能力扩展评估.md,31c835ef,4757,4757,OK
docs/架构迭代/2、架构迭代方案设计/V5.2改造说明/1、第一轮改造计划.md,31c835ef,23306,23306,OK
docs/架构迭代/2、架构迭代方案设计/V5.2改造说明/2、新的改造方案.md,31c835ef,22241,22241,OK
docs/架构迭代/2、架构迭代方案设计/智慧工地项目专题/1、智慧工地项目实现思路.md,31c835ef,6619,6619,OK
docs/架构迭代/2、架构迭代方案设计/智慧工地项目专题/华星智慧工地项目后台管理配置说明书.md,31c835ef,35410,35410,OK
docs/架构迭代/2、架构迭代方案设计/智慧工地项目专题/智慧工地项目实施方案完整版.md,31c835ef,65442,65442,OK
docs/架构迭代/2、架构迭代方案设计/移动APPuniapp代码生成/1、第一轮指导.md,31c835ef,7975,7975,OK
docs/架构迭代/3、架构迭代子阶段施工/2、应用服务施工阶段/1、施工方案.md,31c835ef,3355,3355,OK
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/1、迭代方案/1、第一次整理意见.md,31c835ef,12692,12692,OK
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/1、迭代方案/2、第二次整理意见.md,31c835ef,8608,8608,OK
docs/架构迭代/3、架构迭代子阶段施工/3、前端项目施工阶段/2、开发计划和施工包/01-前端整理开发计划与施工包.md,31c835ef,18030,18030,OK
